Id,OrderNumber,AccountId,InstrumentId,Volume,OpenDate,OpenPrice,Swap,TakeProfit,StopLoss,Margin,IsBuy,Commission,CurrentPrice,Profit,TradeVolume,TotalProfit,ClientType
183328,183328,121290,10075,0.20000000,2019-12-10 16:11:05.607,1462.65000000,0.00000000,0.00000000,0.00000000,292.52200000,0,0.00000000,1555.31000000,-1853.20000000,31106.20000000,-1853.20000000,2
183333,183333,121290,10075,0.10000000,2019-12-10 13:33:02.417,1464.02000000,0.00000000,0.00000000,0.00000000,146.40200000,0,0.00000000,1555.31000000,-912.90000000,15553.10000000,-912.90000000,2
183334,183334,121290,10075,0.10000000,2019-12-10 13:33:02.433,1464.02000000,0.00000000,0.00000000,0.00000000,146.40200000,0,0.00000000,1555.31000000,-912.90000000,15553.10000000,-912.90000000,2
183463,183463,121290,10075,0.20000000,2019-12-11 13:15:17.723,1465.16000000,0.00000000,0.00000000,0.00000000,293.03200000,0,0.00000000,1555.31000000,-1803.00000000,31106.20000000,-1803.00000000,4
183464,183464,121290,10075,0.20000000,2019-12-11 13:15:39.753,1465.09000000,0.00000000,0.00000000,0.00000000,293.01800000,0,0.00000000,1555.31000000,-1804.40000000,31106.20000000,-1804.40000000,4
183545,183545,121290,9996,0.20000000,2019-12-12 07:18:18.553,1.32165000,0.00000000,0.00000000,0.00000000,132.16500000,1,0.00000000,1.30498000,-333.40000000,26103.80000000,-333.40000000,2
183571,183571,121290,9996,0.20000000,2019-12-12 10:18:30.260,1.31905000,0.00000000,0.00000000,0.00000000,131.90500000,1,0.00000000,1.30498000,-281.40000000,26103.80000000,-281.40000000,2
183606,183606,121290,9996,0.20000000,2019-12-12 13:51:36.903,1.31349000,0.00000000,0.00000000,0.00000000,131.34900000,1,0.00000000,1.30498000,-170.20000000,26103.80000000,-170.20000000,2
183621,183621,121290,9986,0.10000000,2019-12-12 14:29:05.687,1.11491000,0.00000000,0.00000000,0.00000000,55.74550000,1,0.00000000,1.11224000,-26.70000000,11123.80000000,-26.70000000,2
183687,183687,121290,10080,0.10000000,2019-12-12 21:53:26.927,59.37000000,0.00000000,0.00000000,0.00000000,59.37000000,1,0.00000000,58.84000000,-53.00000000,5884.00000000,-53.00000000,4
183688,183688,121290,10080,0.10000000,2019-12-12 21:54:02.553,59.34000000,0.00000000,0.00000000,0.00000000,59.34000000,1,0.00000000,58.84000000,-50.00000000,5884.00000000,-50.00000000,4
183689,183689,121290,10080,0.20000000,2019-12-12 21:54:29.210,59.36000000,0.00000000,0.00000000,0.00000000,118.72000000,1,0.00000000,58.84000000,-104.00000000,11768.00000000,-104.00000000,4
183794,183794,121290,9996,0.20000000,2019-12-13 14:54:29.260,1.33323000,0.00000000,0.00000000,0.00000000,133.32300000,1,0.00000000,1.30498000,-565.00000000,26103.80000000,-565.00000000,2
183795,183795,121290,9996,0.20000000,2019-12-13 14:55:47.167,1.33253000,0.00000000,0.00000000,0.00000000,133.25300000,1,0.00000000,1.30498000,-551.00000000,26103.80000000,-551.00000000,2
183952,183952,121290,10075,0.20000000,2019-12-17 10:09:12.967,1478.01000000,0.00000000,0.00000000,0.00000000,295.60200000,0,0.00000000,1555.31000000,-1546.00000000,31106.20000000,-1546.00000000,2
184228,184228,121290,9996,0.20000000,2019-12-23 12:10:51.340,1.29744000,0.00000000,0.00000000,0.00000000,129.74400000,0,0.00000000,1.30519000,-155.00000000,26099.60000000,-155.00000000,2
166629,166629,121290,9996,0.10000000,2019-09-03 06:39:10.237,1.19902000,0.00000000,0.00000000,0.00000000,59.95100000,0,0.00000000,1.30519000,-1061.70000000,13049.80000000,-1061.70000000,4
166635,166635,121290,9996,0.11000000,2019-09-03 06:41:49.017,1.19795000,0.00000000,0.00000000,0.00000000,65.88725000,0,0.00000000,1.30519000,-1179.64000000,14354.78000000,-1179.64000000,4
166643,166643,121290,9996,0.10000000,2019-09-03 06:51:32.627,1.19811000,0.00000000,0.00000000,0.00000000,59.90550000,0,0.00000000,1.30519000,-1070.80000000,13049.80000000,-1070.80000000,4
185134,185134,121290,9996,0.20000000,2020-01-10 13:32:40.603,1.30877000,0.00000000,0.00000000,0.00000000,130.87700000,1,0.00000000,1.30498000,-75.80000000,26103.80000000,-75.80000000,4
167255,167255,121290,9996,0.10000000,2019-09-04 11:18:32.657,1.21883000,0.00000000,0.00000000,0.00000000,60.94150000,0,0.00000000,1.30519000,-863.60000000,13049.80000000,-863.60000000,4
185174,185174,121290,9996,0.20000000,2020-01-10 18:48:19.230,1.30560000,0.00000000,0.00000000,0.00000000,130.56000000,0,0.00000000,1.30519000,8.20000000,26099.60000000,8.20000000,4
185175,185175,121290,10075,0.10000000,2020-01-10 20:09:54.283,1559.87000000,0.00000000,1577.44000000,0.00000000,155.98700000,1,0.00000000,1554.62000000,-52.50000000,15546.20000000,-52.50000000,4
185507,185507,121290,10079,1.00000000,2020-01-17 06:54:49.050,13493.65000000,0.00000000,13449.30000000,0.00000000,150.29902052,0,0.00000000,13527.85000000,-38.04339600,15046.21588400,-38.04339600,2
185510,185510,121290,10080,0.10000000,2020-01-17 07:04:18.880,58.60000000,0.00000000,59.60000000,0.00000000,58.60000000,1,0.00000000,58.84000000,24.00000000,5884.00000000,24.00000000,2
